,Survived,Pclass,Fare,Gender,AgeFill,Cabin_t,Embarked_t,FamilySize,Age*Class,Fare_Cat,Age_Cat
51,0,3,7.8,1,21.0,0,1,0,63.0,3.0,2.0
52,1,1,76.7292,0,49.0,1,2,1,49.0,1.0,3.0
53,1,2,26.0,0,29.0,0,1,1,58.0,2.0,2.0
54,0,1,61.9792,1,65.0,1,2,1,65.0,2.0,3.0
55,1,1,35.5,1,40.0,1,1,0,40.0,2.0,3.0
56,1,2,10.5,0,21.0,0,1,0,42.0,2.0,2.0
57,0,3,7.2292,1,28.5,0,2,0,85.5,3.0,2.0
58,1,2,27.75,0,5.0,0,1,3,10.0,2.0,1.0
59,0,3,46.9,1,11.0,0,1,7,33.0,2.0,1.0
60,0,3,7.2292,1,22.0,0,2,0,66.0,3.0,2.0
61,1,1,80.0,0,38.0,1,1,0,38.0,1.0,3.0
62,0,1,83.475,1,45.0,1,1,1,45.0,1.0,3.0
63,0,3,27.9,1,4.0,0,1,5,12.0,2.0,1.0
64,0,1,27.7208,1,40.0,0,2,0,40.0,2.0,3.0
65,1,3,15.2458,1,25.0,0,2,2,75.0,2.0,2.0
66,1,2,10.5,0,29.0,1,1,0,58.0,2.0,2.0
67,0,3,8.1583,1,19.0,0,1,0,57.0,3.0,2.0
68,1,3,7.925,0,17.0,0,1,6,51.0,3.0,2.0
69,0,3,8.6625,1,26.0,0,1,2,78.0,3.0,2.0
70,0,2,10.5,1,32.0,0,1,0,64.0,2.0,2.0
71,0,3,46.9,0,16.0,0,1,7,48.0,2.0,2.0
72,0,2,73.5,1,21.0,0,1,0,42.0,1.0,2.0
73,0,3,14.4542,1,26.0,0,2,1,78.0,2.0,2.0
74,1,3,56.4958,1,32.0,0,1,0,96.0,2.0,2.0
75,0,3,7.65,1,25.0,1,1,0,75.0,3.0,2.0
76,0,3,7.8958,1,25.0,0,1,0,75.0,3.0,2.0
77,0,3,8.05,1,25.0,0,1,0,75.0,3.0,2.0
78,1,2,29.0,1,0.83,0,1,2,1.66,2.0,1.0
79,1,3,12.475,0,30.0,0,1,0,90.0,2.0,2.0
80,0,3,9.0,1,22.0,0,1,0,66.0,3.0,2.0
81,1,3,9.5,1,29.0,0,1,0,87.0,3.0,2.0
82,1,3,7.7875,0,21.5,0,3,0,64.5,3.0,2.0
83,0,1,47.1,1,28.0,0,1,0,28.0,2.0,2.0
84,1,2,10.5,0,17.0,0,1,0,34.0,2.0,2.0
85,1,3,15.85,0,33.0,0,1,3,99.0,2.0,2.0
86,0,3,34.375,1,16.0,0,1,4,48.0,2.0,2.0
87,0,3,8.05,1,25.0,0,1,0,75.0,3.0,2.0
88,1,1,263.0,0,23.0,1,1,5,23.0,1.0,2.0
89,0,3,8.05,1,24.0,0,1,0,72.0,3.0,2.0
90,0,3,8.05,1,29.0,0,1,0,87.0,3.0,2.0
91,0,3,7.8542,1,20.0,0,1,0,60.0,3.0,2.0
92,0,1,61.175,1,46.0,1,1,1,46.0,2.0,3.0
93,0,3,20.575,1,26.0,0,1,3,78.0,2.0,2.0
94,0,3,7.25,1,59.0,0,1,0,177.0,3.0,3.0
95,0,3,8.05,1,25.0,0,1,0,75.0,3.0,2.0
96,0,1,34.6542,1,71.0,1,2,0,71.0,2.0,3.0
97,1,1,63.3583,1,23.0,1,2,1,23.0,2.0,2.0
98,1,2,23.0,0,34.0,0,1,1,68.0,2.0,2.0
99,0,2,26.0,1,34.0,0,1,1,68.0,2.0,2.0
100,0,3,7.8958,0,28.0,0,1,0,84.0,3.0,2.0
101,0,3,7.8958,1,25.0,0,1,0,75.0,3.0,2.0
102,0,1,77.2875,1,21.0,1,1,1,21.0,1.0,2.0
103,0,3,8.6542,1,33.0,0,1,0,99.0,3.0,2.0
104,0,3,7.925,1,37.0,0,1,2,111.0,3.0,3.0
105,0,3,7.8958,1,28.0,0,1,0,84.0,3.0,2.0
106,1,3,7.65,0,21.0,0,1,0,63.0,3.0,2.0
107,1,3,7.775,1,25.0,0,1,0,75.0,3.0,2.0
108,0,3,7.8958,1,38.0,0,1,0,114.0,3.0,3.0
109,1,3,24.15,0,21.5,0,3,1,64.5,2.0,2.0
110,0,1,52.0,1,47.0,1,1,0,47.0,2.0,3.0
111,0,3,14.4542,0,14.5,0,2,1,43.5,2.0,1.0
112,0,3,8.05,1,22.0,0,1,0,66.0,3.0,2.0
113,0,3,9.825,0,20.0,0,1,1,60.0,3.0,2.0
114,0,3,14.4583,0,17.0,0,2,0,51.0,2.0,2.0
115,0,3,7.925,1,21.0,0,1,0,63.0,3.0,2.0
116,0,3,7.75,1,70.5,0,3,0,211.5,3.0,3.0
117,0,2,21.0,1,29.0,0,1,1,58.0,2.0,2.0
118,0,1,247.5208,1,24.0,1,2,1,24.0,1.0,2.0
119,0,3,31.275,0,2.0,0,1,6,6.0,2.0,1.0
120,0,2,73.5,1,21.0,0,1,2,42.0,1.0,2.0
121,0,3,8.05,1,25.0,0,1,0,75.0,3.0,2.0
122,0,2,30.0708,1,32.5,0,2,1,65.0,2.0,2.0
123,1,2,13.0,0,32.5,1,1,0,65.0,2.0,2.0
124,0,1,77.2875,1,54.0,1,1,1,54.0,1.0,3.0
125,1,3,11.2417,1,12.0,0,2,1,36.0,2.0,1.0
126,0,3,7.75,1,25.0,0,3,0,75.0,3.0,2.0
127,1,3,7.1417,1,24.0,0,1,0,72.0,3.0,2.0
128,1,3,22.3583,0,21.5,1,2,2,64.5,2.0,2.0
129,0,3,6.975,1,45.0,0,1,0,135.0,3.0,3.0
130,0,3,7.8958,1,33.0,0,2,0,99.0,3.0,2.0
131,0,3,7.05,1,20.0,0,1,0,60.0,3.0,2.0
132,0,3,14.5,0,47.0,0,1,1,141.0,2.0,3.0
133,1,2,26.0,0,29.0,0,1,1,58.0,2.0,2.0
134,0,2,13.0,1,25.0,0,1,0,50.0,2.0,2.0
135,0,2,15.0458,1,23.0,0,2,0,46.0,2.0,2.0
136,1,1,26.2833,0,19.0,1,1,2,19.0,2.0,2.0
137,0,1,53.1,1,37.0,1,1,1,37.0,2.0,3.0
138,0,3,9.2167,1,16.0,0,1,0,48.0,3.0,2.0
139,0,1,79.2,1,24.0,1,2,0,24.0,1.0,2.0
140,0,3,15.2458,0,21.5,0,2,2,64.5,2.0,2.0
141,1,3,7.75,0,22.0,0,1,0,66.0,3.0,2.0
142,1,3,15.85,0,24.0,0,1,1,72.0,2.0,2.0
143,0,3,6.75,1,19.0,0,3,0,57.0,3.0,2.0
144,0,2,11.5,1,18.0,0,1,0,36.0,2.0,2.0
145,0,2,36.75,1,19.0,0,1,2,38.0,2.0,2.0
146,1,3,7.7958,1,27.0,0,1,0,81.0,3.0,2.0
147,0,3,34.375,0,9.0,0,1,4,27.0,2.0,1.0
148,0,2,26.0,1,36.5,1,1,2,73.0,2.0,3.0
149,0,2,13.0,1,42.0,0,1,0,84.0,2.0,3.0
150,0,2,12.525,1,51.0,0,1,0,102.0,2.0,3.0
151,1,1,66.6,0,22.0,1,1,1,22.0,2.0,2.0
152,0,3,8.05,1,55.5,0,1,0,166.5,3.0,3.0
153,0,3,14.5,1,40.5,0,1,2,121.5,2.0,3.0
154,0,3,7.3125,1,25.0,0,1,0,75.0,3.0,2.0
155,0,1,61.3792,1,51.0,0,2,1,51.0,2.0,3.0
156,1,3,7.7333,0,16.0,0,3,0,48.0,3.0,2.0
157,0,3,8.05,1,30.0,0,1,0,90.0,3.0,2.0
158,0,3,8.6625,1,25.0,0,1,0,75.0,3.0,2.0
159,0,3,69.55,1,25.0,0,1,10,75.0,2.0,2.0
160,0,3,16.1,1,44.0,0,1,1,132.0,2.0,3.0
161,1,2,15.75,0,40.0,0,1,0,80.0,2.0,3.0
162,0,3,7.775,1,26.0,0,1,0,78.0,3.0,2.0
163,0,3,8.6625,1,17.0,0,1,0,51.0,3.0,2.0
164,0,3,39.6875,1,1.0,0,1,5,3.0,2.0,1.0
165,1,3,20.525,1,9.0,0,1,2,27.0,2.0,1.0
166,1,1,55.0,0,35.0,1,1,1,35.0,2.0,2.0
167,0,3,27.9,0,45.0,0,1,5,135.0,2.0,3.0
168,0,1,25.925,1,40.0,0,1,0,40.0,2.0,3.0
169,0,3,56.4958,1,28.0,0,1,0,84.0,2.0,2.0
170,0,1,33.5,1,61.0,1,1,0,61.0,2.0,3.0
171,0,3,29.125,1,4.0,0,3,5,12.0,2.0,1.0
172,1,3,11.1333,0,1.0,0,1,2,3.0,2.0,1.0
173,0,3,7.925,1,21.0,0,1,0,63.0,3.0,2.0
174,0,1,30.6958,1,56.0,1,2,0,56.0,2.0,3.0
175,0,3,7.8542,1,18.0,0,1,2,54.0,3.0,2.0
176,0,3,25.4667,1,25.0,0,1,4,75.0,2.0,2.0
177,0,1,28.7125,0,50.0,1,2,0,50.0,2.0,3.0
178,0,2,13.0,1,30.0,0,1,0,60.0,2.0,2.0
179,0,3,0.0,1,36.0,0,1,0,108.0,3.0,3.0
180,0,3,69.55,0,21.5,0,1,10,64.5,2.0,2.0
181,0,2,15.05,1,30.0,0,2,0,60.0,2.0,2.0
182,0,3,31.3875,1,9.0,0,1,6,27.0,2.0,1.0
183,1,2,39.0,1,1.0,1,1,3,2.0,2.0,1.0
184,1,3,22.025,0,4.0,0,1,2,12.0,2.0,1.0
185,0,1,50.0,1,40.0,1,1,0,40.0,2.0,3.0
186,1,3,15.5,0,21.5,0,3,1,64.5,2.0,2.0
187,1,1,26.55,1,45.0,0,1,0,45.0,2.0,3.0
188,0,3,15.5,1,40.0,0,3,2,120.0,2.0,3.0
189,0,3,7.8958,1,36.0,0,1,0,108.0,3.0,3.0
190,1,2,13.0,0,32.0,0,1,0,64.0,2.0,2.0
191,0,2,13.0,1,19.0,0,1,0,38.0,2.0,2.0
192,1,3,7.8542,0,19.0,0,1,1,57.0,3.0,2.0
193,1,2,26.0,1,3.0,1,1,2,6.0,2.0,1.0
194,1,1,27.7208,0,44.0,1,2,0,44.0,2.0,3.0
195,1,1,146.5208,0,58.0,1,2,0,58.0,1.0,3.0
196,0,3,7.75,1,25.0,0,3,0,75.0,3.0,2.0
197,0,3,8.4042,1,42.0,0,1,1,126.0,3.0,3.0
198,1,3,7.75,0,21.5,0,3,0,64.5,3.0,2.0
199,0,2,13.0,0,24.0,0,1,0,48.0,2.0,2.0
200,0,3,9.5,1,28.0,0,1,0,84.0,3.0,2.0
201,0,3,69.55,1,25.0,0,1,10,75.0,2.0,2.0
202,0,3,6.4958,1,34.0,0,1,0,102.0,3.0,2.0
203,0,3,7.225,1,45.5,0,2,0,136.5,3.0,3.0
204,1,3,8.05,1,18.0,0,1,0,54.0,3.0,2.0
205,0,3,10.4625,0,2.0,1,1,1,6.0,2.0,1.0
206,0,3,15.85,1,32.0,0,1,1,96.0,2.0,2.0
207,1,3,18.7875,1,26.0,0,2,0,78.0,2.0,2.0
208,1,3,7.75,0,16.0,0,3,0,48.0,3.0,2.0
209,1,1,31.0,1,40.0,1,2,0,40.0,2.0,3.0
210,0,3,7.05,1,24.0,0,1,0,72.0,3.0,2.0
211,1,2,21.0,0,35.0,0,1,0,70.0,2.0,2.0
212,0,3,7.25,1,22.0,0,1,0,66.0,3.0,2.0
213,0,2,13.0,1,30.0,0,1,0,60.0,2.0,2.0
214,0,3,7.75,1,25.0,0,3,1,75.0,3.0,2.0
215,1,1,113.275,0,31.0,1,2,1,31.0,1.0,2.0
216,1,3,7.925,0,27.0,0,1,0,81.0,3.0,2.0
217,0,2,27.0,1,42.0,0,1,1,84.0,2.0,3.0
218,1,1,76.2917,0,32.0,1,2,0,32.0,1.0,2.0
219,0,2,10.5,1,30.0,0,1,0,60.0,2.0,2.0
220,1,3,8.05,1,16.0,0,1,0,48.0,3.0,2.0
221,0,2,13.0,1,27.0,0,1,0,54.0,2.0,2.0
222,0,3,8.05,1,51.0,0,1,0,153.0,3.0,3.0
223,0,3,7.8958,1,25.0,0,1,0,75.0,3.0,2.0
224,1,1,90.0,1,38.0,1,1,1,38.0,1.0,3.0
225,0,3,9.35,1,22.0,0,1,0,66.0,3.0,2.0
226,1,2,10.5,1,19.0,0,1,0,38.0,2.0,2.0
227,0,3,7.25,1,20.5,0,1,0,61.5,3.0,2.0
228,0,2,13.0,1,18.0,0,1,0,36.0,2.0,2.0
229,0,3,25.4667,0,21.5,0,1,4,64.5,2.0,2.0
230,1,1,83.475,0,35.0,1,1,1,35.0,1.0,2.0
231,0,3,7.775,1,29.0,0,1,0,87.0,3.0,2.0
232,0,2,13.5,1,59.0,0,1,0,118.0,2.0,3.0
233,1,3,31.3875,0,5.0,0,1,6,15.0,2.0,1.0
234,0,2,10.5,1,24.0,0,1,0,48.0,2.0,2.0
235,0,3,7.55,0,21.5,0,1,0,64.5,3.0,2.0
236,0,2,26.0,1,44.0,0,1,1,88.0,2.0,3.0
237,1,2,26.25,0,8.0,0,1,2,16.0,2.0,1.0
238,0,2,10.5,1,19.0,0,1,0,38.0,2.0,2.0
239,0,2,12.275,1,33.0,0,1,0,66.0,2.0,2.0
240,0,3,14.4542,0,21.5,0,2,1,64.5,2.0,2.0
241,1,3,15.5,0,21.5,0,3,1,64.5,2.0,2.0
242,0,2,10.5,1,29.0,0,1,0,58.0,2.0,2.0
243,0,3,7.125,1,22.0,0,1,0,66.0,3.0,2.0
244,0,3,7.225,1,30.0,0,2,0,90.0,3.0,2.0
245,0,1,90.0,1,44.0,1,3,2,44.0,1.0,3.0
246,0,3,7.775,0,25.0,0,1,0,75.0,3.0,2.0
247,1,2,14.5,0,24.0,0,1,2,48.0,2.0,2.0
248,1,1,52.5542,1,37.0,1,1,2,37.0,2.0,3.0
249,0,2,26.0,1,54.0,0,1,1,108.0,2.0,3.0
250,0,3,7.25,1,25.0,0,1,0,75.0,3.0,2.0
251,0,3,10.4625,0,29.0,1,1,2,87.0,2.0,2.0
252,0,1,26.55,1,62.0,1,1,0,62.0,2.0,3.0
253,0,3,16.1,1,30.0,0,1,1,90.0,2.0,2.0
254,0,3,20.2125,0,41.0,0,1,2,123.0,2.0,3.0
255,1,3,15.2458,0,29.0,0,2,2,87.0,2.0,2.0
256,1,1,79.2,0,35.0,0,2,0,35.0,1.0,2.0
257,1,1,86.5,0,30.0,1,1,0,30.0,1.0,2.0
258,1,1,512.3292,0,35.0,0,2,0,35.0,1.0,2.0
259,1,2,26.0,0,50.0,0,1,1,100.0,2.0,3.0
260,0,3,7.75,1,25.0,0,3,0,75.0,3.0,2.0
261,1,3,31.3875,1,3.0,0,1,6,9.0,2.0,1.0
262,0,1,79.65,1,52.0,1,1,2,52.0,1.0,3.0
263,0,1,0.0,1,40.0,1,1,0,40.0,3.0,3.0
264,0,3,7.75,0,21.5,0,3,0,64.5,3.0,2.0
265,0,2,10.5,1,36.0,0,1,0,72.0,2.0,3.0
266,0,3,39.6875,1,16.0,0,1,5,48.0,2.0,2.0
267,1,3,7.775,1,25.0,0,1,1,75.0,3.0,2.0
268,1,1,153.4625,0,58.0,1,1,1,58.0,1.0,3.0
269,1,1,135.6333,0,35.0,1,1,0,35.0,1.0,2.0
270,0,1,31.0,1,40.0,0,1,0,40.0,2.0,3.0
271,1,3,0.0,1,25.0,0,1,0,75.0,3.0,2.0
272,1,2,19.5,0,41.0,0,1,1,82.0,2.0,3.0
273,0,1,29.7,1,37.0,1,2,1,37.0,2.0,3.0
274,1,3,7.75,0,21.5,0,3,0,64.5,3.0,2.0
275,1,1,77.9583,0,63.0,1,1,1,63.0,1.0,3.0
276,0,3,7.75,0,45.0,0,1,0,135.0,3.0,3.0
277,0,2,0.0,1,30.0,0,1,0,60.0,3.0,2.0
278,0,3,29.125,1,7.0,0,3,5,21.0,2.0,1.0
279,1,3,20.25,0,35.0,0,1,2,105.0,2.0,2.0
280,0,3,7.75,1,65.0,0,3,0,195.0,3.0,3.0
281,0,3,7.8542,1,28.0,0,1,0,84.0,3.0,2.0
282,0,3,9.5,1,16.0,0,1,0,48.0,3.0,2.0
283,1,3,8.05,1,19.0,0,1,0,57.0,3.0,2.0
284,0,1,26.0,1,40.0,1,1,0,40.0,2.0,3.0
285,0,3,8.6625,1,33.0,0,2,0,99.0,3.0,2.0
286,1,3,9.5,1,30.0,0,1,0,90.0,3.0,2.0
287,0,3,7.8958,1,22.0,0,1,0,66.0,3.0,2.0
288,1,2,13.0,1,42.0,0,1,0,84.0,2.0,3.0
289,1,3,7.75,0,22.0,0,3,0,66.0,3.0,2.0
290,1,1,78.85,0,26.0,0,1,0,26.0,1.0,2.0
291,1,1,91.0792,0,19.0,1,2,1,19.0,1.0,2.0
292,0,2,12.875,1,36.0,1,2,0,72.0,2.0,3.0
293,0,3,8.85,0,24.0,0,1,0,72.0,3.0,2.0
294,0,3,7.8958,1,24.0,0,1,0,72.0,3.0,2.0
295,0,1,27.7208,1,40.0,0,2,0,40.0,2.0,3.0
296,0,3,7.2292,1,23.5,0,2,0,70.5,3.0,2.0
297,0,1,151.55,0,2.0,1,1,3,2.0,1.0,1.0
298,1,1,30.5,1,40.0,1,1,0,40.0,2.0,3.0
299,1,1,247.5208,0,50.0,1,2,1,50.0,1.0,3.0
300,1,3,7.75,0,21.5,0,3,0,64.5,3.0,2.0
301,1,3,23.25,1,25.0,0,3,2,75.0,2.0,2.0
302,0,3,0.0,1,19.0,0,1,0,57.0,3.0,2.0
303,1,2,12.35,0,28.0,1,3,0,56.0,2.0,2.0
304,0,3,8.05,1,25.0,0,1,0,75.0,3.0,2.0
305,1,1,151.55,1,0.92,1,1,3,0.92,1.0,1.0
306,1,1,110.8833,0,35.0,0,2,0,35.0,1.0,2.0
307,1,1,108.9,0,17.0,1,2,1,17.0,1.0,2.0
308,0,2,24.0,1,30.0,0,2,1,60.0,2.0,2.0
309,1,1,56.9292,0,30.0,1,2,0,30.0,2.0,2.0
310,1,1,83.1583,0,24.0,1,2,0,24.0,1.0,2.0
311,1,1,262.375,0,18.0,1,2,4,18.0,1.0,2.0
312,0,2,26.0,0,26.0,0,1,2,52.0,2.0,2.0
313,0,3,7.8958,1,28.0,0,1,0,84.0,3.0,2.0
314,0,2,26.25,1,43.0,0,1,2,86.0,2.0,3.0
315,1,3,7.8542,0,26.0,0,1,0,78.0,3.0,2.0
316,1,2,26.0,0,24.0,0,1,1,48.0,2.0,2.0
317,0,2,14.0,1,54.0,0,1,0,108.0,2.0,3.0
318,1,1,164.8667,0,31.0,1,1,2,31.0,1.0,2.0
319,1,1,134.5,0,40.0,1,2,2,40.0,1.0,3.0
320,0,3,7.25,1,22.0,0,1,0,66.0,3.0,2.0
321,0,3,7.8958,1,27.0,0,1,0,81.0,3.0,2.0
322,1,2,12.35,0,30.0,0,3,0,60.0,2.0,2.0
323,1,2,29.0,0,22.0,0,1,2,44.0,2.0,2.0
324,0,3,69.55,1,25.0,0,1,10,75.0,2.0,2.0
325,1,1,135.6333,0,36.0,1,2,0,36.0,1.0,3.0
326,0,3,6.2375,1,61.0,0,1,0,183.0,3.0,3.0
327,1,2,13.0,0,36.0,1,1,0,72.0,2.0,3.0
328,1,3,20.525,0,31.0,0,1,2,93.0,2.0,2.0
329,1,1,57.9792,0,16.0,1,2,1,16.0,2.0,2.0
330,1,3,23.25,0,21.5,0,3,2,64.5,2.0,2.0
331,0,1,28.5,1,45.5,1,1,0,45.5,2.0,3.0
332,0,1,153.4625,1,38.0,1,1,1,38.0,1.0,3.0
333,0,3,18.0,1,16.0,0,1,2,48.0,2.0,2.0
334,1,1,133.65,0,35.0,0,1,1,35.0,1.0,2.0
335,0,3,7.8958,1,25.0,0,1,0,75.0,3.0,2.0
336,0,1,66.6,1,29.0,1,1,1,29.0,2.0,2.0
337,1,1,134.5,0,41.0,1,2,0,41.0,1.0,3.0
338,1,3,8.05,1,45.0,0,1,0,135.0,3.0,3.0
339,0,1,35.5,1,45.0,1,1,0,45.0,2.0,3.0
340,1,2,26.0,1,2.0,1,1,2,4.0,2.0,1.0
341,1,1,263.0,0,24.0,1,1,5,24.0,1.0,2.0
342,0,2,13.0,1,28.0,0,1,0,56.0,2.0,2.0
343,0,2,13.0,1,25.0,0,1,0,50.0,2.0,2.0
344,0,2,13.0,1,36.0,0,1,0,72.0,2.0,3.0
345,1,2,13.0,0,24.0,1,1,0,48.0,2.0,2.0
346,1,2,13.0,0,40.0,0,1,0,80.0,2.0,3.0
347,1,3,16.1,0,21.5,0,1,1,64.5,2.0,2.0
348,1,3,15.9,1,3.0,0,1,2,9.0,2.0,1.0
349,0,3,8.6625,1,42.0,0,1,0,126.0,3.0,3.0
350,0,3,9.225,1,23.0,0,1,0,69.0,3.0,2.0
351,0,1,35.0,1,40.0,1,1,0,40.0,2.0,3.0
352,0,3,7.2292,1,15.0,0,2,2,45.0,3.0,1.0
353,0,3,17.8,1,25.0,0,1,1,75.0,2.0,2.0
354,0,3,7.225,1,25.0,0,2,0,75.0,3.0,2.0
355,0,3,9.5,1,28.0,0,1,0,84.0,3.0,2.0
356,1,1,55.0,0,22.0,1,1,1,22.0,2.0,2.0
357,0,2,13.0,0,38.0,0,1,0,76.0,2.0,3.0
358,1,3,7.8792,0,21.5,0,3,0,64.5,3.0,2.0
359,1,3,7.8792,0,21.5,0,3,0,64.5,3.0,2.0
360,0,3,27.9,1,40.0,0,1,5,120.0,2.0,3.0
361,0,2,27.7208,1,29.0,0,2,1,58.0,2.0,2.0
362,0,3,14.4542,0,45.0,0,2,1,135.0,2.0,3.0
363,0,3,7.05,1,35.0,0,1,0,105.0,3.0,2.0
364,0,3,15.5,1,25.0,0,3,1,75.0,2.0,2.0
365,0,3,7.25,1,30.0,0,1,0,90.0,3.0,2.0
366,1,1,75.25,0,60.0,1,2,1,60.0,1.0,3.0
367,1,3,7.2292,0,21.5,0,2,0,64.5,3.0,2.0
368,1,3,7.75,0,21.5,0,3,0,64.5,3.0,2.0
369,1,1,69.3,0,24.0,1,2,0,24.0,2.0,2.0
370,1,1,55.4417,1,25.0,1,2,1,25.0,2.0,2.0
371,0,3,6.4958,1,18.0,0,1,1,54.0,3.0,2.0
372,0,3,8.05,1,19.0,0,1,0,57.0,3.0,2.0
373,0,1,135.6333,1,22.0,0,2,0,22.0,1.0,2.0
374,0,3,21.075,0,3.0,0,1,4,9.0,2.0,1.0
375,1,1,82.1708,0,35.0,0,2,1,35.0,1.0,2.0
376,1,3,7.25,0,22.0,0,1,0,66.0,3.0,2.0
377,0,1,211.5,1,27.0,1,2,2,27.0,1.0,2.0
378,0,3,4.0125,1,20.0,0,2,0,60.0,3.0,2.0
379,0,3,7.775,1,19.0,0,1,0,57.0,3.0,2.0
380,1,1,227.525,0,42.0,0,2,0,42.0,1.0,3.0
381,1,3,15.7417,0,1.0,0,2,2,3.0,2.0,1.0
382,0,3,7.925,1,32.0,0,1,0,96.0,3.0,2.0
383,1,1,52.0,0,35.0,0,1,1,35.0,2.0,2.0
384,0,3,7.8958,1,25.0,0,1,0,75.0,3.0,2.0
385,0,2,73.5,1,18.0,0,1,0,36.0,1.0,2.0
386,0,3,46.9,1,1.0,0,1,7,3.0,2.0,1.0
387,1,2,13.0,0,36.0,0,1,0,72.0,2.0,3.0
388,0,3,7.7292,1,25.0,0,3,0,75.0,3.0,2.0
389,1,2,12.0,0,17.0,0,2,0,34.0,2.0,2.0
390,1,1,120.0,1,36.0,1,1,3,36.0,1.0,3.0
391,1,3,7.7958,1,21.0,0,1,0,63.0,3.0,2.0
392,0,3,7.925,1,28.0,0,1,2,84.0,3.0,2.0
393,1,1,113.275,0,23.0,1,2,1,23.0,1.0,2.0
394,1,3,16.7,0,24.0,1,1,2,72.0,2.0,2.0
395,0,3,7.7958,1,22.0,0,1,0,66.0,3.0,2.0
396,0,3,7.8542,0,31.0,0,1,0,93.0,3.0,2.0
397,0,2,26.0,1,46.0,0,1,0,92.0,2.0,3.0
398,0,2,10.5,1,23.0,0,1,0,46.0,2.0,2.0
399,1,2,12.65,0,28.0,0,1,0,56.0,2.0,2.0
400,1,3,7.925,1,39.0,0,1,0,117.0,3.0,3.0
401,0,3,8.05,1,26.0,0,1,0,78.0,3.0,2.0
402,0,3,9.825,0,21.0,0,1,1,63.0,3.0,2.0
403,0,3,15.85,1,28.0,0,1,1,84.0,2.0,2.0
